Player name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
Delayed AON1,CCDDDCCCCC,26,0,10,2.6,0,0,TRUE,7,5,2,2,1,5,0,0,1,0,2,1,0,1
"DoubleCrosser: (D, D)",CCCCCCCCDD,24,-5,10,2.4,-0.5,0,TRUE,8,6,2,1,1,5,1,2,0,0,1,0,0,1
Doubler,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
DoubleResurrection,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
EasyGo,DDCCCCCCCC,24,-5,10,2.4,-0.5,0,FALSE,8,6,2,1,1,6,0,1,0,0,1,1,0,1
Eatherley,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
"EugineNier: (D,)",CCDCCDCCCD,26,0,10,2.6,0,0,TRUE,7,5,2,2,1,4,1,0,2,2,0,0,0,1
Eventual Cycle Hunter,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Evolved ANN,CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
Evolved ANN 5,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Evolved ANN 5 Noise 05,CCDCCCCCCC,23,-10,10,2.3,-1,0,TRUE,9,6,3,1,0,6,0,1,1,1,0,0,0,1
Evolved FSM 4,CCDDDCDDDD,33,20,10,3.3,2,1,TRUE,3,2,1,5,2,1,1,0,1,0,5,1,0,0
Evolved FSM 16,CCDCCDDDDD,32,15,10,3.2,1.5,1,TRUE,4,2,2,5,1,2,0,0,2,1,4,0,0,0
Evolved FSM 16 Noise 05,CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
EvolvedLookerUp1_1_1,CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
EvolvedLookerUp2_2_2,CCCDDCDDDD,31,15,10,3.1,1.5,1,TRUE,4,3,1,4,2,1,2,1,0,0,4,1,0,0
Evolved HMM 5,CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
"Feld: 1.0, 0.5, 200",CCDCCDDCCC,27,0,10,2.7,0,0,TRUE,7,4,3,3,0,4,0,0,2,2,1,0,0,1
Firm But Fair,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
