Player name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
"ZD-Extort-2 v2: 0.125, 0.5, 1",CDDDDDDDDC,27,15,10,2.7,1.5,1,TRUE,2,1,1,4,4,0,1,0,0,1,3,0,4,0
"ZD-Extort-4: 0.23529411764705882, 0.25, 1",CCDDCDDDCD,23,5,10,2.3,0.5,1,TRUE,4,3,1,2,4,1,2,0,1,2,0,0,3,0
"ZD-GTFT-2: 0.25, 0.5",CCCDCDDDCC,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,0,2,2,0,0,2,1
"ZD-GEN-2: 0.125, 0.5, 3",CCCDDCCDCC,20,-10,10,2,-1,0,TRUE,7,3,4,2,1,3,0,1,2,1,1,1,0,1
ZD-Mem2,CCCDCDDDCC,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,0,2,2,0,0,2,1
"ZD-Mischief: 0.1, 0.0, 1",CCDDDDDDDD,26,15,10,2.6,1.5,1,TRUE,2,2,0,3,5,1,1,0,0,0,3,0,4,0
"ZD-SET-2: 0.25, 0.0, 2",CCCDDDDDCC,22,0,10,2.2,0,0,TRUE,5,3,2,2,3,3,0,0,1,1,1,0,3,1
$e$,CDDCCCCCCC,18,-15,10,1.8,-1.5,0,TRUE,8,4,4,1,1,3,1,3,0,0,1,1,0,1
Dynamic Two Tits For Tat,CCCCCDCCCC,16,-20,10,1.6,-2,0,TRUE,9,5,4,0,1,5,0,2,1,0,0,1,0,1
"Memory Decay: 0.1, 0.03, -2, 1, Tit For Tat, 15",CCCDCDDDCC,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,0,2,2,0,0,2,1
Meta Hunter: 6 players,CCCCCCCCCC,15,-25,10,1.5,-2.5,0,TRUE,10,5,5,0,0,5,0,4,0,0,0,0,0,1
Meta Hunter Aggressive: 7 players,CCCCCCCCCC,15,-25,10,1.5,-2.5,0,TRUE,10,5,5,0,0,5,0,4,0,0,0,0,0,1
Meta Majority: 209 players,CCCDCDDDCC,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,0,2,2,0,0,2,1
Meta Majority Memory One: 34 players,CCCDCDDDCC,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,0,2,2,0,0,2,1
Meta Majority Finite Memory: 78 players,CCCDCDDDCC,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,0,2,2,0,0,2,1
Meta Majority Long Memory: 131 players,CCCDCDDDCC,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,0,2,2,0,0,2,1
Meta Minority: 209 players,DDDCDCCCDD,24,5,10,2.4,0.5,1,FALSE,4,2,2,3,3,0,2,2,0,0,3,2,0,0
Meta Mixer: 209 players,CCCCCDCDCC,18,-15,10,1.8,-1.5,0,TRUE,8,4,4,1,1,4,0,1,2,1,0,1,0,1
Meta Winner: 209 players,CCCCDCCCDD,19,-10,10,1.9,-1,0,TRUE,7,4,3,1,2,2,2,3,0,0,1,1,0,1
Meta Winner Deterministic: 144 players,CCCCDCCCDD,19,-10,10,1.9,-1,0,TRUE,7,4,3,1,2,2,2,3,0,0,1,1,0,1
Meta Winner Ensemble: 209 players,CCDDDCDCDD,23,5,10,2.3,0.5,1,TRUE,4,3,1,2,4,1,2,0,1,0,2,2,1,0
Meta Winner Memory One: 34 players,CCDCDDDDDD,24,10,10,2.4,1,1,TRUE,3,3,0,2,5,1,2,0,0,0,2,1,3,0
Meta Winner Finite Memory: 78 players,CCCCDDCCDD,20,-5,10,2,-0.5,0,TRUE,6,4,2,1,3,2,2,2,0,0,1,1,1,1
Meta Winner Long Memory: 131 players,CCCCDCCCDD,19,-10,10,1.9,-1,0,TRUE,7,4,3,1,2,2,2,3,0,0,1,1,0,1
Meta Winner Stochastic: 65 players,CCDCDCDDDD,23,5,10,2.3,0.5,1,TRUE,4,3,1,2,4,1,2,0,1,0,2,2,1,0
NMWE Deterministic: 144 players,CCCDDCDDDD,24,5,10,2.4,0.5,1,TRUE,4,2,2,3,3,2,0,0,2,0,3,1,1,0
NMWE Finite Memory: 78 players,CCCCDCDDDD,22,0,10,2.2,0,0,TRUE,5,3,2,2,3,2,1,1,1,0,2,1,1,1
NMWE Long Memory: 131 players,CCCCDDCDDD,22,0,10,2.2,0,0,TRUE,5,3,2,2,3,2,1,1,1,0,2,1,1,1
NMWE Memory One: 34 players,CCCCDDDDDD,23,5,10,2.3,0.5,1,TRUE,4,3,1,2,4,2,1,1,0,0,2,0,3,0
NMWE Stochastic: 65 players,CCCDCCDDDC,22,-5,10,2.2,-0.5,0,TRUE,6,2,4,3,1,2,0,1,2,2,1,0,1,1
Nice Meta Winner: 209 players,CCCCDCCCDD,19,-10,10,1.9,-1,0,TRUE,7,4,3,1,2,2,2,3,0,0,1,1,0,1
Nice Meta Winner Ensemble: 209 players,CCCDDDDDDD,25,10,10,2.5,1,1,TRUE,3,2,1,3,4,2,0,0,1,0,3,0,3,0
