Player name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
$\pi$,CCCCCCCCCC,9,-35,10,0.9,-3.5,0,TRUE,10,3,7,0,0,3,0,6,0,0,0,0,0,1
Predator,CDDCCCDDDD,16,-5,10,1.6,-0.5,0,TRUE,4,2,2,1,5,2,0,0,2,0,1,1,3,1
Prober,DCCDCCDDDC,16,-10,10,1.6,-1,0,FALSE,5,1,4,2,3,1,0,1,2,2,0,1,2,1
Prober 2,DCCDCCDDDC,16,-10,10,1.6,-1,0,FALSE,5,1,4,2,3,1,0,1,2,2,0,1,2,1
Prober 3,DCDDCCDDDC,17,-5,10,1.7,-0.5,0,FALSE,4,1,3,2,4,1,0,0,2,2,0,1,3,1
Prober 4,CCDCDDDCCD,15,-10,10,1.5,-1,0,TRUE,5,2,3,1,4,0,2,2,1,0,1,2,1,1
Pun1,DCDCCCDCDC,14,-15,10,1.4,-1.5,0,FALSE,6,2,4,1,3,2,0,0,3,1,0,3,0,1
PSO Gambler 1_1_1,CCDDDDDDDD,20,5,10,2,0.5,1,TRUE,2,0,2,3,5,0,0,1,1,0,3,0,4,0
PSO Gambler 2_2_2,CCDDCDDDDC,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,0,1,1,1,2,0,0,4,1
PSO Gambler 2_2_2 Noise 05,CCDDDDCDDD,19,0,10,1.9,0,0,TRUE,3,0,3,3,4,0,0,1,2,0,3,1,2,1
PSO Gambler Mem1,CCCCCCCDDD,13,-20,10,1.3,-2,0,TRUE,7,2,5,1,2,2,0,4,1,0,1,0,1,1
Punisher,CDDDDDDDDD,21,10,10,2.1,1,1,TRUE,1,0,1,3,6,0,0,0,1,0,3,0,5,0
Raider,DDCCCCDDDC,15,-10,10,1.5,-1,0,FALSE,5,2,3,1,4,2,0,1,1,1,0,1,3,1
Random: 0.5,DDCCDCDCCC,14,-15,10,1.4,-1.5,0,FALSE,6,2,4,1,3,1,1,2,1,1,0,2,1,1
Random Hunter,CCCCCCCCCC,9,-35,10,0.9,-3.5,0,TRUE,10,3,7,0,0,3,0,6,0,0,0,0,0,1
Random Tit for Tat: 0.5,CDCDDCCDDC,17,-10,10,1.7,-1,0,TRUE,5,0,5,3,2,0,0,1,3,2,1,1,1,1
Remorseful Prober: 0.1,CDDDCCDDDC,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,1,0,0,2,2,0,0,4,1
Resurrection,CDDDCCDDDC,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,1,0,0,2,2,0,0,4,1
Retaliate: 0.1,CDDDDDDDDD,21,10,10,2.1,1,1,TRUE,1,0,1,3,6,0,0,0,1,0,3,0,5,0
Retaliate 2: 0.08,CDDDDDDDDD,21,10,10,2.1,1,1,TRUE,1,0,1,3,6,0,0,0,1,0,3,0,5,0
Retaliate 3: 0.05,CDDDDDDDDD,21,10,10,2.1,1,1,TRUE,1,0,1,3,6,0,0,0,1,0,3,0,5,0
Revised Downing: True,CCDDDDDDDD,20,5,10,2,0.5,1,TRUE,2,0,2,3,5,0,0,1,1,0,3,0,4,0
RichardHufford,CDDDDDDDDD,21,10,10,2.1,1,1,TRUE,1,0,1,3,6,0,0,0,1,0,3,0,5,0
Ripoff,DCDDCCDDDC,17,-5,10,1.7,-0.5,0,FALSE,4,1,3,2,4,1,0,0,2,2,0,1,3,1
Risky QLearner,CCCCDCCCCC,11,-30,10,1.1,-3,0,TRUE,9,2,7,1,0,1,1,6,0,1,0,0,0,1
Rowsam,CCCCCDCDCC,11,-25,10,1.1,-2.5,0,TRUE,8,3,5,0,2,2,1,3,1,0,0,2,0,1
SelfSteem,CDDDCDDCCC,15,-10,10,1.5,-1,0,TRUE,5,2,3,1,4,1,1,1,1,1,0,1,3,1
ShortMem,CCCCCCCCCC,9,-35,10,0.9,-3.5,0,TRUE,10,3,7,0,0,3,0,6,0,0,0,0,0,1
Shubik,CDDDCCDDDC,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,1,0,0,2,2,0,0,4,1
Slow Tit For Two Tats 2,CCDDDCCDDD,18,-5,10,1.8,-0.5,0,TRUE,4,0,4,3,3,0,0,2,2,1,2,0,2,1
Sneaky Tit For Tat,CCDDCCDDCC,14,-15,10,1.4,-1.5,0,TRUE,6,2,4,1,3,2,0,1,2,1,0,1,2,1
Soft Grudger,CDDDDCCDDD,19,0,10,1.9,0,0,TRUE,3,0,3,3,4,0,0,1,2,1,2,0,3,1
Soft Joss: 0.9,CCDDCCCDDC,15,-15,10,1.5,-1.5,0,TRUE,6,1,5,2,2,1,0,2,2,2,0,0,2,1
SolutionB1,DDDDDCCCCC,16,-10,10,1.6,-1,0,FALSE,5,1,4,2,3,1,0,3,0,1,1,0,3,1
SolutionB5,DDDDCCDDDC,18,0,10,1.8,0,0,FALSE,3,1,2,2,5,1,0,0,1,2,0,0,5,1
Spiteful Tit For Tat,CDDDDDDDDD,21,10,10,2.1,1,1,TRUE,1,0,1,3,6,0,0,0,1,0,3,0,5,0
"Stalker: (D,)",CDCDDCDDDD,19,0,10,1.9,0,0,TRUE,3,0,3,3,4,0,0,0,3,1,2,1,2,1
"Stein and Rapoport: 0.05: (D, D)",CCCCCCDDDD,14,-15,10,1.4,-1.5,0,TRUE,6,2,4,1,3,2,0,3,1,0,1,0,2,1
Stochastic Cooperator,CDCCCCDDCC,12,-20,10,1.2,-2,0,TRUE,7,3,4,0,3,3,0,1,2,0,0,2,1,1
Stochastic WSLS: 0.05,CDCDDCCDCC,15,-15,10,1.5,-1.5,0,TRUE,6,1,5,2,2,1,0,1,3,1,1,2,0,1
Suspicious Tit For Tat,DDDDCCDDDC,18,0,10,1.8,0,0,FALSE,3,1,2,2,5,1,0,0,1,2,0,0,5,1
Tester,DCDDCCDDDC,17,-5,10,1.7,-0.5,0,FALSE,4,1,3,2,4,1,0,0,2,2,0,1,3,1
TF1,CCDDCDCDDD,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,0,1,1,2,1,1,1,2,1
TF2,CDDDDDDDDD,21,10,10,2.1,1,1,TRUE,1,0,1,3,6,0,0,0,1,0,3,0,5,0
TF3,CCDDDDDDDD,20,5,10,2,0.5,1,TRUE,2,0,2,3,5,0,0,1,1,0,3,0,4,0
ThueMorse,DCCDCDDCCD,15,-10,10,1.5,-1,0,FALSE,5,2,3,1,4,0,2,2,1,1,0,2,1,1
