"","id","Round","Adversary","Choice_of_Advisor","Payoff","pw_order","rps_order","age","gender","service","school","rank","years_military_experience","game_theory_experience","machine_learning_experience","seconds_on_page","avg_time"
"56","3z144",5,"Human+AI","none",0,"2","213",33,"Male","Army","ACSC","4",14,3,3,8,8.43333333333333
"57","3z144",6,"Human+AI","human",0,"2","213",33,"Male","Army","ACSC","4",14,3,3,9,8.43333333333333
"58","3z144",7,"Human+AI","human",-1,"2","213",33,"Male","Army","ACSC","4",14,3,3,9,8.43333333333333
"59","3z144",8,"Human+AI","none",0,"2","213",33,"Male","Army","ACSC","4",14,3,3,8,8.43333333333333
"60","3z144",9,"Human+AI","none",0,"2","213",33,"Male","Army","ACSC","4",14,3,3,9,8.43333333333333
"61","6lk32",1,"Human","none",1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,19,9.7
"62","6lk32",10,"Human","none",1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,8,9.7
"63","6lk32",1,"AI","AI",-1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,16,9.7
"64","6lk32",2,"AI","none",-1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,11,9.7
"65","6lk32",3,"AI","none",1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,9,9.7
"66","6lk32",4,"AI","none",0,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,11,9.7
"67","6lk32",5,"AI","none",1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,10,9.7
"68","6lk32",6,"AI","none",0,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,12,9.7
"69","6lk32",7,"AI","none",1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,8,9.7
"70","6lk32",8,"AI","none",-1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,8,9.7
"71","6lk32",9,"AI","none",-1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,8,9.7
"72","6lk32",2,"Human","none",1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,15,9.7
"73","6lk32",10,"AI","AI",1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,9,9.7
"74","6lk32",1,"Human+AI","none",-1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,14,9.7
"75","6lk32",2,"Human+AI","none",-1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,9,9.7
"76","6lk32",3,"Human+AI","AI",1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,8,9.7
"77","6lk32",4,"Human+AI","AI",1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,8,9.7
"78","6lk32",5,"Human+AI","AI",1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,7,9.7
"79","6lk32",6,"Human+AI","AI",-1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,8,9.7
"80","6lk32",7,"Human+AI","AI",1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,7,9.7
"81","6lk32",8,"Human+AI","AI",-1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,9,9.7
"82","6lk32",9,"Human+AI","human",0,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,8,9.7
"83","6lk32",3,"Human","none",-1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,11,9.7
"84","6lk32",10,"Human+AI","AI",0,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,8,9.7
"85","6lk32",4,"Human","none",-1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,8,9.7
"86","6lk32",5,"Human","none",0,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,8,9.7
"87","6lk32",6,"Human","none",0,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,8,9.7
"88","6lk32",7,"Human","none",-1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,8,9.7
"89","6lk32",8,"Human","none",1,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,8,9.7
"90","6lk32",9,"Human","none",0,"1","132",36,"Female","Air Force","ACSC","4",16,2,2,10,9.7
"91","8mh76",1,"AI","none",1,"1","321",39,"Female","Army","ACSC","4",14,3,2,10,9.93333333333333
"92","8mh76",10,"AI","none",1,"1","321",39,"Female","Army","ACSC","4",14,3,2,10,9.93333333333333
"93","8mh76",1,"Human+AI","none",-1,"1","321",39,"Female","Army","ACSC","4",14,3,2,11,9.93333333333333
"94","8mh76",2,"Human+AI","none",-1,"1","321",39,"Female","Army","ACSC","4",14,3,2,18,9.93333333333333
"95","8mh76",3,"Human+AI","none",1,"1","321",39,"Female","Army","ACSC","4",14,3,2,9,9.93333333333333
"96","8mh76",4,"Human+AI","none",1,"1","321",39,"Female","Army","ACSC","4",14,3,2,9,9.93333333333333
"97","8mh76",5,"Human+AI","none",-1,"1","321",39,"Female","Army","ACSC","4",14,3,2,9,9.93333333333333
"98","8mh76",6,"Human+AI","none",1,"1","321",39,"Female","Army","ACSC","4",14,3,2,10,9.93333333333333
"99","8mh76",7,"Human+AI","none",-1,"1","321",39,"Female","Army","ACSC","4",14,3,2,9,9.93333333333333
"100","8mh76",8,"Human+AI","none",0,"1","321",39,"Female","Army","ACSC","4",14,3,2,10,9.93333333333333
"101","8mh76",9,"Human+AI","none",0,"1","321",39,"Female","Army","ACSC","4",14,3,2,8,9.93333333333333
"102","8mh76",2,"AI","none",1,"1","321",39,"Female","Army","ACSC","4",14,3,2,10,9.93333333333333
"103","8mh76",10,"Human+AI","none",1,"1","321",39,"Female","Army","ACSC","4",14,3,2,9,9.93333333333333
"104","8mh76",1,"Human","none",-1,"1","321",39,"Female","Army","ACSC","4",14,3,2,9,9.93333333333333
"105","8mh76",2,"Human","none",1,"1","321",39,"Female","Army","ACSC","4",14,3,2,8,9.93333333333333
"106","8mh76",3,"Human","none",-1,"1","321",39,"Female","Army","ACSC","4",14,3,2,8,9.93333333333333
"107","8mh76",4,"Human","none",0,"1","321",39,"Female","Army","ACSC","4",14,3,2,9,9.93333333333333
"108","8mh76",5,"Human","none",0,"1","321",39,"Female","Army","ACSC","4",14,3,2,8,9.93333333333333
"109","8mh76",6,"Human","none",1,"1","321",39,"Female","Army","ACSC","4",14,3,2,9,9.93333333333333
"110","8mh76",7,"Human","none",-1,"1","321",39,"Female","Army","ACSC","4",14,3,2,8,9.93333333333333
"111","8mh76",8,"Human","none",1,"1","321",39,"Female","Army","ACSC","4",14,3,2,9,9.93333333333333
"112","8mh76",9,"Human","none",-1,"1","321",39,"Female","Army","ACSC","4",14,3,2,7,9.93333333333333
"113","8mh76",3,"AI","none",-1,"1","321",39,"Female","Army","ACSC","4",14,3,2,19,9.93333333333333
"114","8mh76",10,"Human","none",0,"1","321",39,"Female","Army","ACSC","4",14,3,2,9,9.93333333333333
"115","8mh76",4,"AI","none",0,"1","321",39,"Female","Army","ACSC","4",14,3,2,11,9.93333333333333
"116","8mh76",5,"AI","none",-1,"1","321",39,"Female","Army","ACSC","4",14,3,2,9,9.93333333333333
"117","8mh76",6,"AI","none",1,"1","321",39,"Female","Army","ACSC","4",14,3,2,14,9.93333333333333
"118","8mh76",7,"AI","none",-1,"1","321",39,"Female","Army","ACSC","4",14,3,2,9,9.93333333333333
"119","8mh76",8,"AI","none",0,"1","321",39,"Female","Army","ACSC","4",14,3,2,12,9.93333333333333
"120","8mh76",9,"AI","none",1,"1","321",39,"Female","Army","ACSC","4",14,3,2,8,9.93333333333333
